sleep,睡觉
secret,秘密
card,贺卡
flower,花
science,科学
today,今天
call,打电话，通话
noise,声音，响声
drink,喝，饮
talk,说话，交谈
stone,石子，石头
five-stones,抛接五块小石
photo,照片
newspaper,报纸
little,年幼的，幼小的
camera,照相机
smile,微笑
draw,绘画，画
picture,图画；照片
write,写
letter,信
colour,给……着色
tidy,整理，收拾
room,房间
do,做，干
homework,家庭作业
skip,跳绳
hurry up,赶快
late,晚的，迟的
sad,伤心的，难过的
no,没有
those,那些
clap,拍手
game,游戏
clapping game,拍手游戏
well,嗯，好
kid,小孩
weather,天气
like,像，如同
What's the weather like?,天气怎么样？
sunny,阳光充足的，阳光明媚的
windy,有风的，刮风的
take,带，拿
cap,有帽檐的帽子
sofa,沙发
street,街道
rain,下雨；雨
snow,下雪
ski,滑雪
behind,在......后面
hide,躲藏
seek,寻找
hide-and-seek,捉迷藏
