half,一半
feed/birds,喂鸟
well,好；熟练地
past,晚于，过（几点）
miss,想念
have fun,玩得开心
moon cake,月饼
spend,度过
true,真实的，确实的
study,学习
for,达，计
got,得到（get的过去式）
open,开着的
different,不同的
do outdoor activities,进行户外活动
activity,活动
eighty,八十
wall,塔
made,做，制作（make的过去式）
point,分数
play basketball,打篮球
fan,狂热爱爱好者，迷
break,课间休息
playground,操场，运动场
stories,故事（story的复数形式）
seventy,七十
invitation,邀请帖
sixty,六十
nothing,没有事情，没有东西
tidy up,收拾，整理
drank,喝（drink的过去式）
heavy,重的
November,十一月
useful,有用的
let,允许，让
from,（表示时间）从…起
show,（电视或广播）节目
sometimes,有时
to,直到
presenter,（电视或广播的）主持人
should,应该
reply,回答，答复
go to bed,上床睡觉
blind,盲的
shouldn't,不应该（should not）
festival,节日
could,能（can的过去式）
celebrate,庆祝
mine,我的
speak,说（某种语言）
clean,干净的
October,十月
whose,谁的
fire,火灾，失火
rule,规则，规章
the Mid-Autumn Festival,中秋节
