middle,中部的；中等的；中间
middle school,中学
little,极少量的
keep on,保持
sometimes,某个时候
speech,演说；讲演
each other,互相；彼此
September,九月
chemistry,化学
excited,激动的，兴奋的
physics,物理
geography,地理
same,相同的
at the same time,同时
space,太空
travel,旅行
interested,感兴趣的
be interested in,对......感兴趣
cup,杯子
classmate,同班同学
baseball,棒球
spaceship,宇宙飞船
brought,带来（bring的过去式）
surprised,惊奇的；惊讶的
more,更强烈地
made,做，制作（make的过去式）
mistake,错误
make mistakes,犯错误
model,模型；模范，榜样
word,单词，字
taikonaut,（中国的）太空人，宇航员
wish,愿望，希望；祝，祝愿
best wishes,最美好的祝愿
luck,运气
primary,初级的，初等的；小学的
primary school,小学
flew,飞，飞行（fly的过去式）
spent,度过（spend的过去式）
video,录像
forever,永远
joy,乐趣
someday,有朝一日
future,未来，将来
born,出生，诞生
taught,教，讲授（teach的过去式）
illness,病，疾病
wonderful,极好的，了不起的
round,在......各处
happiness,幸福，快乐
all over the world,全世界
shine,（太阳）发光，照耀
hot dog,热狗
cry,哭，叫
cashier,收银员
cola,可乐；一杯可乐
soup,汤
thing,东西，事物
dollar,美元
need,需要
cent,美分
grab,抓住；抓取
enjoy,享用，享受
balloon,气球
meal,餐
fly away,飞走
stairs,（常复）楼梯
later,后来，以后
telephone,电话
dark,黑色的；黑暗的
ring,响
cloud,云
bark,（狗）吠，叫
Oh dear!,哎呀！天哪！
arrive,到达
dry,干的
hardly,几乎不
stay,保持，维持
raincoat,雨衣
tunnel,隧道
close,合上，关闭
home,回家
quickly,快地，快速地
earth,地球
left,丢下（leave的过去式）
